text,id,cleaned_text,topic,Subjectivity,Polarity,Analysis
"@peanut_pitbull @ChrisJo80574828 @TheRealEarns @MarinaMedvin The government has no money they spend more than they receive via taxes. So they borrow from the fed which worsens inflation,worsens wealth inequality, and inflates bubbles. What good are roads etc if you are priced out of purchasing goods, unable to pay rent, and no savings",1457055231225778177,peanut pitbull chrisjo therealearns marinamedvin government money spend receive via tax borrow fed worsens inflation worsens wealth inequality inflates bubble good road etc priced purchasing good unable pay rent saving,"inequality, people, make, one, would, wealth, economic, tax, income, racism",0.5666666666666668,0.3,Positive
"@LitUpMagazine1 @thomaschattwill @nhannahjones Well, there is an argument to be made for people coming from different backgrounds and how that affects them. Which also mostly explain the inequality better than race: poor people tend to do worse than middle class/rich people and some ethnicities tends to be poorer than others.",1457055229468348420,litupmagazine thomaschattwill nhannahjones well argument made people coming different background affect also mostly explain inequality better race poor people tend worse middle class rich people ethnicity tends poorer others,"inequality, people, make, one, would, wealth, economic, tax, income, racism",0.5071428571428572,0.08214285714285714,Positive
There's nothing libs love more than talking about institutional problems. Through parliaments one can set up all sort of investigative committees and set proposals. It's a great way to not actually address the economic inequality faced by the black community.,1457055203388280833,nothing libs love talking institutional problem parliament one set sort investigative committee set proposal great way actually address economic inequality faced black community,"inequality, wealth, u, social, people, like, amp, class, america, health",0.4166666666666667,0.26666666666666666,Positive
Inequality has effects everywhere https://t.co/MK6E2AiVzq,1457055130914861057,inequality effect everywhere,"inequality, amp, covid, health, poverty, social, pandemic, new, income, u",0.0,0.0,Neutral
"/6-Now, 'equity'-based education being handled by Equity Alliance of Minnesota. I don't know anything about them. I haven't heard why the change. Anyone?
My point: Focus changed from ""equity of outcomes"" to guaranteed inequity, inequality, with no notice, explanation. More ?s",1457054652197920770,equity based education handled equity alliance minnesota know anything heard change anyone point focus changed equity outcome guaranteed inequity inequality notice explanation,"inequality, wealth, u, social, people, like, amp, class, america, health",0.0,0.0,Neutral
@nhsDirtySecrets Herein lies the problem. Nobody is looking to the needs of our children in the present or future and it shows. We have always lived with great inequalities but to march backwards on the freedoms and communities/services gained is societal abuse.,1457054562519601153,nhsdirtysecrets herein lie problem nobody looking need child present future show always lived great inequality march backwards freedom community service gained societal abuse,"inequality, people, make, one, would, wealth, economic, tax, income, racism",0.2916666666666667,0.26666666666666666,Positive
Desperately seeking reductions in health inequalities in Canada: Polemics and anger mobilization as the way forward? https://t.co/DChByH7768,1457054436254265348,desperately seeking reduction health inequality canada polemic anger mobilization way forward,"inequality, amp, covid, health, poverty, social, pandemic, new, income, u",0.6,-0.6499999999999999,Negative
@Hmmmmmm46550043 @KTRTRS telangana is an upper middle income place with 14k$ ppp per capita and growing at 10-12% . inequality in income levels due to utter failure of bjp and congress who ruled over those places,1457054207282794496,hmmmmmm ktrtrs telangana upper middle income place k ppp per caput growing inequality income level due utter failure bjp congress ruled place,"inequality, climate, amp, racial, change, must, history, cop, income, gender",0.335,-0.08833333333333335,Negative
"Wanaitwa babyboomers, hii age-group imeshindwa ku-tackle socioeconomic inequality.",1457054093453795329,wanaitwa babyboomers hii age group imeshindwa ku tackle socioeconomic inequality,"inequality, climate, amp, racial, change, must, history, cop, income, gender",0.0,0.0,Neutral
@ryanaboyd increasing inequality etc.,1457054071475499011,ryanaboyd increasing inequality etc,"inequality, wealth, u, social, people, like, amp, class, america, health",0.0,0.0,Neutral
"â¦ that knows sometimes we all have to unlearn the power structures and norms that have created division, inequality, and means only some peopleâs joy and freedom counts. We donât have to all believe the same things, but our lives + futures are interdependent. https://t.co/1MGOMTKUBf",1457053896464027652,know sometimes unlearn power structure norm created division inequality mean people joy freedom count believe thing life future interdependent,"inequality, wealth, u, social, people, like, amp, class, america, health",0.33749999999999997,0.1625,Positive
Just think of polygons as inequalities,1457053779719720965,think polygon inequality,"inequality, wealth, u, social, people, like, amp, class, america, health",0.0,0.0,Neutral
"If we change the background measure to the value 1/ð, where ð is the mean income, the consequently calculated entropy is a measure of inequality. Latter quantity is define as standardized entropy and denoting it as ð±_ð(x). More: https://t.co/nGxLwJeJGR #Physics #Maths https://t.co/ORckMwqLFu",1457053421752754179,change background measure value mean income consequently calculated entropy measure inequality latter quantity define standardized entropy denoting x physic math,"inequality, climate, amp, racial, change, must, history, cop, income, gender",0.34375,-0.15625,Negative
